Course ID,No,Course Name,Question Stem,Question Type,Answer Key,Answer Value
30231,1,中美关系再受考验！拜登签署对华投资新禁令, The booklet is targeted ______ people approaching retirement. ,choice,A,at
30231,2,中美关系再受考验！拜登签署对华投资新禁令, The government has poured millions ______ the education system. ,choice,D,into
30231,3,中美关系再受考验！拜登签署对华投资新禁令, Their sponsors pulled ______ at the last minute. ,choice,C,back
30231,4,中美关系再受考验！拜登签署对华投资新禁令," They used to be great friends, but they've gradually drifted ______ over the years. ",choice,B,apart
30231,5,中美关系再受考验！拜登签署对华投资新禁令," Something that is ______ is difficult and unpleasant, making you feel tired or weak. ",choice,C,bruising
30231,6,中美关系再受考验！拜登签署对华投资新禁令," What does ""issue"" mean in ""An executive order President Biden issued Wednesday ...""? ",choice,A,to make something known formally
30231,7,中美关系再受考验！拜登签署对华投资新禁令," What does ""tentative"" mean in ""In the short term, officials and security specialists said, the tentative diplomatic progress of recent months is likely to hold""? ",choice,B,"not definite or certain, because you may want to change things"
30231,8,中美关系再受考验！拜登签署对华投资新禁令," Which of the following has the word ""hold"" with the same meaning as that in ""In the short term, officials and security specialists said, the tentative diplomatic progress of recent months is likely to hold""? ",choice,B,The government is committed to holding exports at their present level.
30231,9,中美关系再受考验！拜登签署对华投资新禁令," What does ""diversification"" mean in ""That talk of diversification, de-risking, decoupling, disentangling—choose your ‘D-word,’ whichever one you like ...""? ",choice,D,the process of changing so that there is greater variety
30231,10,中美关系再受考验！拜登签署对华投资新禁令," Which of the following has the word ""deny"" with the same meaning as that in ""In doing so, White House officials said, the order intends to deny China the know-how, market access and other benefits U.S. venture-capital and private-equity firms bring with their investments""? ",choice,C,I was denied the opportunity of learning French at school.
30232,1,“八角笼外”，马斯克和扎克伯格有何恩怨？, The lettering stood ______ well against the dark background. ,choice,,out
30232,2,“八角笼外”，马斯克和扎克伯格有何恩怨？," At this time of year, most people are pining ______ the return of spring. ",choice,,for
30232,3,“八角笼外”，马斯克和扎克伯格有何恩怨？," After toiling ______ at work all week, it's good to relax. ",choice,,away
30232,4,“八角笼外”，马斯克和扎克伯格有何恩怨？, A large amount of money will have to be injected ______ the company if it is to survive. ,choice,,into
30232,5,“八角笼外”，马斯克和扎克伯格有何恩怨？," When you draw parallels ______ two distinct things, it means you highlight the similarities. ",choice,,between
30232,6,“八角笼外”，马斯克和扎克伯格有何恩怨？," Which of the following can BEST replace ""primed"" in ""But it is clear the bosses are primed for a fight""? ",choice,,prepared
30232,7,“八角笼外”，马斯克和扎克伯格有何恩怨？," Which of the following is a synonym of ""underscore"" in ""The latest outburst between them underscores the growing rivalry of their business interests ...""? ",choice,,underline
30232,8,“八角笼外”，马斯克和扎克伯格有何恩怨？," Which of the following has the word ""propose"" with the same meaning as that in ""Even by the standards of billionaire-versus-billionaire tiffs, the proposed cage fight between Elon Musk and Mark Zuckerberg stands out""? ",choice,B,"Since the idea was first proposed, no action has been taken."
30232,9,“八角笼外”，马斯克和扎克伯格有何恩怨？," What does ""rivalry"" mean in ""The latest outburst between them underscores the growing rivalry of their business interests ...""? ",choice,,"a state in which two people, companies, etc. are competing for the same thing"
30232,10,“八角笼外”，马斯克和扎克伯格有何恩怨？," What does ""feud"" mean in ""Behind the Musk-Zuckerberg 'Cage Match' Is a Yearslong Billionaire Feud""? ",choice,,an angry and bitter argument between two people or groups of people that continues over a long period of time
30233,1,《芭比》：为什么从她身上能看见我们自己？, This small battle is very important in the context ______ Scottish history.,choice,,of
30233,2,《芭比》：为什么从她身上能看见我们自己？, The book was a fitting ______ to his career.,choice,,culmination
30233,3,《芭比》：为什么从她身上能看见我们自己？,"The meaning can be ______, or idiomatic: it's all about the context.",choice,B,literal
30233,4,《芭比》：为什么从她身上能看见我们自己？, They give an ______ optimistic assessment of their own skills and abilities.,choice,,unrealistically
30233,5,《芭比》：为什么从她身上能看见我们自己？," I saw a ______ for the new series of ""Game of Thrones"" last night.",choice,,trailer
30233,6,《芭比》：为什么从她身上能看见我们自己？," Which of the following is the synonym of ""tortuous"" in ""But Barbie's film debut also comes in the context of a much longer and more tortuous journey ...""? ",choice,,complex
30233,7,《芭比》：为什么从她身上能看见我们自己？," Which of the following is the synonym of ""irrelevant"" in ""... one that leads Barbie into a real world that, for the most part, finds her either dangerous or irrelevant""? ",choice,,unrelated
30233,8,《芭比》：为什么从她身上能看见我们自己？," What does ""debut"" mean in ""But Barbie's film debut also comes in the context of a much longer ...""? ",choice,,the first public appearance of a product or service
30233,9,《芭比》：为什么从她身上能看见我们自己？," What does ""simultaneously"" mean in ""Barbie looms as simultaneously an unrealistically proportioned airhead and a striving Everywoman""? ",choice,,happening or being done at exactly the same time
30233,10,《芭比》：为什么从她身上能看见我们自己？," What does ""proportioned"" mean in ""Barbie looms as simultaneously an unrealistically proportioned airhead and a striving Everywoman""? ",choice,,having parts of the size or shape that is described
30234,1,美国大学招生平权法案被推翻，真的对亚裔有利吗？,"Is the allergy tied ______ dairy products, for example? ",choice,A,to
30234,2,美国大学招生平权法案被推翻，真的对亚裔有利吗？,Mr Schulz dismissed fears that the world economy would dip ______ another recession.,choice,D,into
30234,3,美国大学招生平权法案被推翻，真的对亚裔有利吗？,I feel that I have benefited greatly ______ her wisdom.,choice,C,from
30234,4,美国大学招生平权法案被推翻，真的对亚裔有利吗？,The students mainly come from ______ families.,choice,C,affluent
30234,5,美国大学招生平权法案被推翻，真的对亚裔有利吗？,The committee pressed him to ______ more information. ,choice,B,reveal
30234,6,美国大学招生平权法案被推翻，真的对亚裔有利吗？,"Which of the following can BEST replace ""launching"" in ""... launching a painful conversation about racial stereotyping in admissions""?",choice,B,triggering
30234,7,美国大学招生平权法案被推翻，真的对亚裔有利吗？,"Which of the following is the synonym of ""assuage"" in ""... the decision was unlikely to assuage doubts about the fairness of college admissions""? ",choice,D,relieve
30234,8,美国大学招生平权法案被推翻，真的对亚裔有利吗？,"What does ""fad"" mean in ""'I think college admissions has really dipped into this fad of trauma dumping,' he said""? ",choice,B,"a style, activity, or interest that is very popular for a short period of time"
30234,9,美国大学招生平权法案被推翻，真的对亚裔有利吗？,"What does ""dock"" mean in ""...  Asian Americans were docked on a personal rating, according to the lawsuit ...""? ",choice,C,to remove part of something
30234,10,美国大学招生平权法案被推翻，真的对亚裔有利吗？,"What does ""trauma"" mean in ""'I think college admissions has really dipped into this fad of trauma dumping,' he said""? ",choice,D,severe emotional shock and pain caused by an extremely upsetting experience
30235,1,天后李玟骤然离世，“微笑抑郁”敲响警钟, She is best known ______ her work on the human brain. ,choice,C,for
30235,2,天后李玟骤然离世，“微笑抑郁”敲响警钟, Dieters suffer ______ violent mood swings. ,choice,C,from
30235,3,天后李玟骤然离世，“微笑抑郁”敲响警钟, The hotel combines comfort ______ convenience. ,choice,D,with
30235,4,天后李玟骤然离世，“微笑抑郁”敲响警钟," Which of the following can BEST replace ""deteriorated"" in ""Coco had been suffering from depression for a few years but her condition deteriorated drastically over the last few months ...""? ",choice,B,declined
30235,5,天后李玟骤然离世，“微笑抑郁”敲响警钟," Which of the following can BEST replace ""incredibly"" in ""In a post to her social media at the end of 2022, Ms. Lee acknowledged having had an 'incredibly difficult year' but encouraged her followers to spread positivity ...""? ",choice,A,extremely
30235,6,天后李玟骤然离世，“微笑抑郁”敲响警钟," What does ""stunningly"" mean in ""... the magic of this stunningly beautiful film is truly realized in this evocative love ballad ...""? ",choice,D,in a way that is extremely surprising or impressive
30235,7,天后李玟骤然离世，“微笑抑郁”敲响警钟," Which of the following has the word ""color"" with the same meaning as that in ""Combining the flavor and texture of Eastern music with the orchestral color and sensitive lyrics of Western culture ...""? ",choice,C,Her comments added color to the broadcast.
30235,8,天后李玟骤然离世，“微笑抑郁”敲响警钟," What does ""drastically"" mean in ""Coco had been suffering from depression for a few years but her condition deteriorated drastically over the last few months ...""? ",choice,D,"in an extreme way that has a sudden, serious or violent effect on something"
30235,9,天后李玟骤然离世，“微笑抑郁”敲响警钟," Which of the following has the word ""realize"" with the same meaning as that in ""... the magic of this stunningly beautiful film is truly realized in this evocative love ballad ...""? ",choice,A,The stage designs have been beautifully realized.
30235,10,天后李玟骤然离世，“微笑抑郁”敲响警钟," What does ""evocative"" mean in ""... the magic of this stunningly beautiful film is truly realized in this evocative love ballad ...""? ",choice,C,"making you think of or remember a strong image or feeling, in a pleasant way"
30236,1,韩政府力挺日本排放核废水，有何图谋？,Coal power stations release sulphur dioxide ______ the atmosphere.,choice,,into
30236,2,韩政府力挺日本排放核废水，有何图谋？,The virus can be transmitted by food containing ______ meat.,choice,,contaminated
30236,3,韩政府力挺日本排放核废水，有何图谋？,"Which of the following can BEST replace ""oppose"" in ""... Seoul strongly opposed Tokyo's plan to release the contaminated water""?",choice,,object
30236,4,韩政府力挺日本排放核废水，有何图谋？,"Which of the following has the word ""discharge"" with the same meaning as that in ""... saying he would be willing to drink water discharged from Japan's Fukushima Daiichi nuclear power plant if it met international standards""? ",choice,,Large amounts of dangerous waste are discharged daily by the factory.
30236,5,韩政府力挺日本排放核废水，有何图谋？,"What does ""backlash"" mean in ""But he has faced a political backlash and skepticism among much of the public""? ",choice,,a strong feeling among a group of people in reaction to a change or recent events in society or politics
30236,6,韩政府力挺日本排放核废水，有何图谋？,"Which of the following can BEST replace ""declaration"" in ""The declaration by Han Duck-soo during a parliamentary session came as a debate rages ...""?",choice,,announcement
30236,7,韩政府力挺日本排放核废水，有何图谋？,"Which of the following is the synonym of ""dispute"" in ""... because of longstanding historical disputes and the deepening political polarization ...""? ",choice,,argument
30236,8,韩政府力挺日本排放核废水，有何图谋？,"Which of the following is the synonym of ""divide"" in ""In South Korea, differing views frequently reflect a political divide""? ",choice,,difference
30236,9,韩政府力挺日本排放核废水，有何图谋？,"What does ""sway"" mean in ""The current administration in Seoul isn't likely to be swayed by the public pressure over the issue""? ",choice,,to persuade someone to believe or do one thing rather than another
30236,10,韩政府力挺日本排放核废水，有何图谋？,"What does ""thaw"" mean in ""Despite the thaw in relations, South Korea said its ban on Fukushima seafood imports would remain in place for now""? ",choice,,an increase in friendliness
