Course ID,Question Stem,Question Type,Question Choices
30231, The booklet is targeted ______ people approaching retirement. ,choice,"[{'answerId': 81865, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'at', 'isRight': 1}, {'answerId': 81866, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'of', 'isRight': 0}, {'answerId': 81867, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'for', 'isRight': 0}, {'answerId': 81868, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': 'with', 'isRight': 0}]"
30231, The government has poured millions ______ the education system. ,choice,"[{'answerId': 81869, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'for', 'isRight': 0}, {'answerId': 81870, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'of', 'isRight': 0}, {'answerId': 81871, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'onto', 'isRight': 0}, {'answerId': 81872, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': 'into', 'isRight': 1}]"
30231, Their sponsors pulled ______ at the last minute. ,choice,"[{'answerId': 81873, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'for', 'isRight': 0}, {'answerId': 81874, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'about', 'isRight': 0}, {'answerId': 81875, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'back', 'isRight': 1}, {'answerId': 81876, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': 'from', 'isRight': 0}]"
30231," They used to be great friends, but they've gradually drifted ______ over the years. ",choice,"[{'answerId': 81877, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'about', 'isRight': 0}, {'answerId': 81878, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'apart', 'isRight': 1}, {'answerId': 81879, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'against', 'isRight': 0}, {'answerId': 81880, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': 'all', 'isRight': 0}]"
30231," Something that is ______ is difficult and unpleasant, making you feel tired or weak. ",choice,"[{'answerId': 81881, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'brief', 'isRight': 0}, {'answerId': 81882, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'brilliant', 'isRight': 0}, {'answerId': 81883, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'bruising', 'isRight': 1}, {'answerId': 81884, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': 'brutal', 'isRight': 0}]"
30231," What does ""issue"" mean in ""An executive order President Biden issued Wednesday ...""? ",choice,"[{'answerId': 81885, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'to make something known formally', 'isRight': 1}, {'answerId': 81886, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'to give something to somebody', 'isRight': 0}, {'answerId': 81887, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'to produce something such as a magazine', 'isRight': 0}, {'answerId': 81888, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': 'to produce new stamps, coins, shares, etc.', 'isRight': 0}]"
30231," What does ""tentative"" mean in ""In the short term, officials and security specialists said, the tentative diplomatic progress of recent months is likely to hold""? ",choice,"[{'answerId': 81889, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'not willing to do something and therefore slow to do it', 'isRight': 0}, {'answerId': 81890, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'not definite or certain, because you may want to change things', 'isRight': 1}, {'answerId': 81891, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'not afraid, in a way that people admire', 'isRight': 0}, {'answerId': 81892, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': 'stupid and unreasonable, or silly in a humorous way', 'isRight': 0}]"
30231," Which of the following has the word ""hold"" with the same meaning as that in ""In the short term, officials and security specialists said, the tentative diplomatic progress of recent months is likely to hold""? ",choice,"[{'answerId': 81893, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': ""Parents will be held responsible for their children's behaviour."", 'isRight': 0}, {'answerId': 81894, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'The government is committed to holding exports at their present level.', 'isRight': 1}, {'answerId': 81895, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'He has already held discussions with Irish shareholders.', 'isRight': 0}, {'answerId': 81896, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': ""Police are holding two men in connection with last Thursday's bank raid."", 'isRight': 0}]"
30231," What does ""diversification"" mean in ""That talk of diversification, de-risking, decoupling, disentangling¡ªchoose your ¡®D-word,¡¯ whichever one you like ...""? ",choice,"[{'answerId': 81897, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'a careful examination of a substance in order to find out what it consists of', 'isRight': 0}, {'answerId': 81898, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': 'a disagreement or difference in opinion, way of life, etc.', 'isRight': 0}, {'answerId': 81899, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'the process or result of dividing into separate parts', 'isRight': 0}, {'answerId': 81900, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': 'the process of changing so that there is greater variety', 'isRight': 1}]"
30231," Which of the following has the word ""deny"" with the same meaning as that in ""In doing so, White House officials said, the order intends to deny China the know-how, market access and other benefits U.S. venture-capital and private-equity firms bring with their investments""? ",choice,"[{'answerId': 81901, 'answerSeq': 0, 'answerKey': 'A', 'answerValue': 'Even under torture, he refused to deny his beliefs.', 'isRight': 0}, {'answerId': 81902, 'answerSeq': 1, 'answerKey': 'B', 'answerValue': ""Neil denies that he broke the window, but I'm sure he did."", 'isRight': 0}, {'answerId': 81903, 'answerSeq': 2, 'answerKey': 'C', 'answerValue': 'I was denied the opportunity of learning French at school.', 'isRight': 1}, {'answerId': 81904, 'answerSeq': 3, 'answerKey': 'D', 'answerValue': ""On this diet, I don't feel like I'm denying myself."", 'isRight': 0}]"
